t,x,y,z,battery
1783111633.444496,-3.749469757080078,,14.74756145477295,100.0
1783111633.46464,-3.7508432865142822,,14.748332023620605,100.0
1783111633.484465,-3.751023054122925,,14.747875213623047,100.0
1783111633.505634,-3.7522430419921875,,14.749588012695312,100.0
1783111633.5237608,-3.7529852390289307,,14.74773120880127,100.0
1783111633.544631,-3.7504820823669434,,14.74874496459961,100.0
1783111633.565932,-3.751863479614258,,14.750432968139648,100.0
1783111633.584152,-3.7495570182800293,,14.752767562866211,100.0
1783111633.6047292,-3.7501113414764404,,14.754575729370117,100.0
1783111633.624664,-3.7502758502960205,,14.751522064208984,100.0
1783111633.6450229,-3.7521986961364746,,14.75204086303711,100.0
1783111633.663908,-3.750501871109009,,14.754597663879395,100.0
1783111633.6837199,-3.7497289180755615,,14.752337455749512,100.0
1783111633.707319,-3.752108097076416,,14.749215126037598,100.0
1783111633.726128,-3.7521417140960693,,14.749717712402344,100.0
1783111633.74468,-3.751817226409912,,14.75239372253418,100.0
1783111633.764216,-3.748673915863037,,14.750909805297852,100.0
1783111633.7843,-3.746959686279297,,14.75174331665039,100.0
1783111633.803879,-3.7446072101593018,,14.750994682312012,100.0
1783111633.824822,-3.747232437133789,,14.748428344726562,100.0
1783111633.843957,-3.747668504714966,,14.749102592468262,100.0
1783111633.864535,-3.747870922088623,,14.751333236694336,100.0
1783111633.884604,-3.7482662200927734,,14.7523775100708,100.0
1783111633.904879,-3.748016834259033,,14.750347137451172,100.0
1783111633.924532,-3.745480537414551,,14.747868537902832,100.0
1783111633.944025,-3.7476115226745605,,14.748443603515625,100.0
1783111633.963747,-3.748936891555786,,14.749082565307617,100.0
1783111633.984072,-3.751340389251709,,14.750375747680664,100.0
1783111634.004929,-3.7502779960632324,,14.751801490783691,100.0
1783111634.024544,-3.748875856399536,,14.75393009185791,100.0
1783111634.043971,-3.7483274936676025,,14.753556251525879,100.0
1783111634.0637991,-3.749833583831787,,14.753989219665527,100.0
1783111634.084237,-3.7495131492614746,,14.751128196716309,100.0
1783111634.10589,-3.7488112449645996,,14.75136661529541,100.0
1783111634.123667,-3.750939130783081,,14.752243995666504,100.0
1783111634.14491,-3.7519655227661133,,14.752767562866211,100.0
1783111634.16453,-3.751028537750244,,14.752148628234863,100.0
1783111634.1848419,-3.7511379718780518,,14.749170303344727,100.0
1783111634.206419,-3.749701499938965,,14.748997688293457,100.0
1783111634.224459,-3.751704216003418,,14.749188423156738,100.0
1783111634.24441,-3.7500555515289307,,14.749701499938965,100.0
1783111634.263913,-3.7494394779205322,,14.74953842163086,100.0
1783111634.284299,-3.7506330013275146,,14.748371124267578,100.0
1783111634.306976,-3.7509453296661377,,14.747200012207031,100.0
1783111634.324865,-3.7486002445220947,,14.745478630065918,100.0
1783111634.344502,-3.7496886253356934,,14.74750804901123,100.0
1783111634.3642921,-3.751760959625244,,14.74421215057373,100.0
1783111634.3842418,-3.7506496906280518,,14.744400978088379,100.0
1783111634.404522,-3.749462366104126,,14.745676040649414,100.0
1783111634.4242182,-3.7496798038482666,,14.747807502746582,100.0
1783111634.4444852,-3.748638153076172,,14.746524810791016,100.0
1783111634.464353,-3.7472355365753174,,14.747827529907227,100.0
1783111634.484166,-3.7472410202026367,,14.748353958129883,100.0
1783111634.506337,-3.746948719024658,,14.751117706298828,100.0
1783111634.5245929,-3.7473738193511963,,14.751473426818848,100.0
1783111634.545745,-3.749401807785034,,14.7505464553833,100.0
1783111634.5640619,-3.7502574920654297,,14.752331733703613,100.0
1783111634.584173,-3.7502050399780273,,14.752310752868652,100.0
1783111634.604775,-3.752084732055664,,14.752523422241211,100.0
1783111634.624616,-3.7508769035339355,,14.75284481048584,100.0
1783111634.644187,-3.7486050128936768,,14.751382827758789,100.0
1783111634.664762,-3.7485482692718506,,14.748960494995117,100.0
1783111634.684119,-3.7484290599823,,14.747879981994629,100.0
1783111634.705408,-3.7463953495025635,,14.748185157775879,100.0
1783111634.724351,-3.746246099472046,,14.747725486755371,100.0
1783111634.744271,-3.746284008026123,,14.748688697814941,100.0
1783111634.7647529,-3.748136043548584,,14.750961303710938,100.0
1783111634.784385,-3.7491207122802734,,14.750572204589844,100.0
1783111634.8047721,-3.749453544616699,,14.751053810119629,100.0
1783111634.824667,-3.7479677200317383,,14.750925064086914,100.0
1783111634.843931,-3.7468643188476562,,14.750042915344238,100.0
1783111634.864627,-3.748039960861206,,14.75088119506836,100.0
1783111634.883849,-3.747889518737793,,14.750993728637695,100.0
1783111634.9055638,-3.746244430541992,,14.75186824798584,100.0
1783111634.923936,-3.745271682739258,,14.748889923095703,100.0
1783111634.9447172,-3.747317314147949,,14.74881649017334,100.0
1783111634.965376,-3.748574733734131,,14.74853229522705,100.0
1783111634.984169,-3.74979829788208,,14.747127532958984,100.0
1783111635.003762,-3.7503111362457275,,14.74788761138916,100.0
1783111635.024161,-3.748414993286133,,14.74618911743164,100.0
1783111635.044513,-3.747551679611206,,14.746638298034668,100.0
1783111635.064652,-3.7466845512390137,,14.747478485107422,100.0
1783111635.08397,-3.7456016540527344,,14.745562553405762,100.0
1783111635.1075258,-3.746385335922241,,14.74747371673584,100.0
1783111635.1241589,-3.7449707984924316,,14.744457244873047,100.0
1783111635.143919,-3.743483304977417,,14.743849754333496,100.0
1783111635.165034,-3.74417781829834,,14.74356460571289,100.0
1783111635.183788,-3.7448959350585938,,14.742454528808594,100.0
1783111635.210089,-3.745340347290039,,14.742477416992188,100.0
1783111635.2240279,-3.7467689514160156,,14.742499351501465,100.0
1783111635.244859,-3.7475156784057617,,14.743887901306152,100.0
1783111635.263942,-3.748737335205078,,14.741628646850586,100.0
1783111635.284537,-3.7486093044281006,,14.740403175354004,100.0
1783111635.306232,-3.7493362426757812,7.019215263426304e-05,14.740348815917969,100.0
1783111635.324351,-3.7523484230041504,0.007672945968806744,14.739151000976562,100.0
1783111635.34472,-3.7502119541168213,0.006216643378138542,14.73995304107666,100.0
1783111635.36428,-3.751537561416626,0.0073913875967264175,14.743102073669434,100.0
1783111635.384583,-3.752336263656616,0.006298582069575787,14.74323558807373,100.0
1783111635.4060318,-3.7531516551971436,0.0036576695274561644,14.744413375854492,100.0
1783111635.4245079,-3.7515666484832764,,14.746978759765625,100.0
1783111635.444714,-3.750514507293701,,14.745208740234375,100.0
1783111635.4640708,-3.7494256496429443,,14.74557876586914,100.0
1783111635.484812,-3.7478435039520264,,14.744470596313477,100.0
1783111635.504192,-3.7512383460998535,,14.745606422424316,100.0
1783111635.5246341,-3.749551296234131,,14.744263648986816,100.0
1783111635.544244,-3.747535228729248,,14.74670124053955,100.0
1783111635.563884,-3.7488656044006348,,14.748893737792969,100.0
1783111635.5860338,-3.7505555152893066,,14.750140190124512,100.0
1783111635.604501,-3.7531020641326904,,14.75020694732666,100.0
1783111635.624613,-3.7511887550354004,,14.751300811767578,100.0
1783111635.644563,-3.7528584003448486,,14.75000286102295,100.0
1783111635.663857,-3.750823736190796,,14.751867294311523,100.0
1783111635.6844978,-3.7509548664093018,0.0017598257400095463,14.751676559448242,100.0
1783111635.70381,-3.7521018981933594,0.005383623763918877,14.751603126525879,100.0
1783111635.7249,-3.7551097869873047,0.007886514067649841,14.752897262573242,100.0
1783111635.743742,-3.7536368370056152,0.011188656091690063,14.750415802001953,100.0
1783111635.764553,-3.7540836334228516,0.013986465521156788,14.752084732055664,100.0
1783111635.7849998,-3.7534830570220947,0.0189902912825346,14.753122329711914,100.0
1783111635.805009,-3.7541191577911377,0.011867349967360497,14.753018379211426,100.0
1783111635.825221,-3.754638671875,0.006905131507664919,14.750700950622559,100.0
1783111635.8447318,-3.75297212600708,0.006213076878339052,14.751677513122559,100.0
1783111635.864984,-3.749232292175293,0.01124617364257574,14.75186824798584,100.0
1783111635.884253,-3.748084783554077,0.009220238775014877,14.751492500305176,100.0
1783111635.906461,-3.7466511726379395,0.007097834721207619,14.751602172851562,100.0
1783111635.92479,-3.74790358543396,0.007236076053231955,14.75251579284668,100.0
1783111635.9446888,-3.7466983795166016,0.008371654897928238,14.749341011047363,100.0
1783111635.9643588,-3.747083902359009,0.00522861210629344,14.750844955444336,100.0
1783111635.98368,-3.747345209121704,0.004168645478785038,14.752548217773438,100.0
1783111636.0053911,-3.7472732067108154,0.0034706101287156343,14.751453399658203,100.0
1783111636.028864,-3.7467687129974365,0.006322822999209166,14.749070167541504,100.0
1783111636.044339,-3.746676445007324,0.008774753659963608,14.749266624450684,100.0
1783111636.063956,-3.749103307723999,0.01233786903321743,14.746685981750488,100.0
1783111636.0839,-3.748422861099243,0.012689872644841671,14.74581241607666,100.0
1783111636.105302,-3.7475709915161133,0.011305314488708973,14.749149322509766,100.0
1783111636.130295,-3.746262550354004,0.007344000041484833,14.748557090759277,100.0
1783111636.145335,-3.746485948562622,0.0052828099578619,14.748642921447754,100.0
1783111636.167572,-3.747440814971924,0.009243720211088657,14.749835014343262,100.0
1783111636.186599,-3.7471132278442383,0.01000768132507801,14.752286911010742,100.0
1783111636.2052748,-3.747098445892334,0.007649798411875963,14.751933097839355,100.0
1783111636.225526,-3.7474184036254883,0.011710286140441895,14.750612258911133,100.0
1783111636.245246,-3.7484829425811768,0.015467928722500801,14.75033187866211,100.0
1783111636.2645109,-3.7497613430023193,0.010349576361477375,14.750151634216309,100.0
1783111636.284116,-3.748347520828247,0.005025480408221483,14.748263359069824,100.0
1783111636.305206,-3.7487998008728027,0.0007527530542574823,14.74858283996582,100.0
1783111636.325066,-3.7504665851593018,,14.749360084533691,100.0
1783111636.343841,-3.748202085494995,,14.751019477844238,100.0
1783111636.365024,-3.7474067211151123,,14.751047134399414,100.0
1783111636.384394,-3.746347427368164,,14.749969482421875,100.0
1783111636.403724,-3.746443033218384,,14.751004219055176,100.0
1783111636.424931,-3.746758460998535,,14.750341415405273,100.0
1783111636.444646,-3.7477009296417236,,14.752867698669434,100.0
1783111636.464468,-3.7462894916534424,,14.754870414733887,100.0
1783111636.4847748,-3.7448947429656982,,14.755955696105957,100.0
1783111636.5075572,-3.745206117630005,,14.756505966186523,100.0
1783111636.5247622,-3.743849754333496,,14.754875183105469,100.0
1783111636.544408,-3.746596574783325,4.0126615203917027e-05,14.757606506347656,100.0
1783111636.5638049,-3.7456459999084473,0.008336644619703293,14.75969409942627,100.0
1783111636.584686,-3.74615478515625,0.006710872054100037,14.758132934570312,100.0
1783111636.6057239,-3.748704195022583,0.00736357131972909,14.758111953735352,100.0
1783111636.626903,-3.748323678970337,0.011173386126756668,14.756905555725098,100.0
1783111636.6439629,-3.7500767707824707,0.012438499368727207,14.755780220031738,100.0
1783111636.6644092,-3.749859571456909,0.01002930011600256,14.757255554199219,100.0
1783111636.6839108,-3.748093605041504,0.01022118330001831,14.758345603942871,100.0
1783111636.705705,-3.7465767860412598,0.01986566372215748,14.760124206542969,100.0
1783111636.7248158,-3.746781349182129,0.024113789200782776,14.758199691772461,100.0
1783111636.744798,-3.746180534362793,0.026119297370314598,14.759464263916016,100.0
1783111636.7642822,-3.746398448944092,0.02167908102273941,14.758055686950684,100.0
1783111636.784894,-3.748579978942871,0.02485762909054756,14.754706382751465,100.0
1783111636.805829,-3.7487823963165283,0.019459884613752365,14.751880645751953,100.0
1783111636.824946,-3.7517266273498535,0.013871964067220688,14.750090599060059,100.0
1783111636.844984,-3.7518532276153564,0.014204750768840313,14.751439094543457,100.0
1783111636.8652742,-3.7496085166931152,0.009670138359069824,14.752279281616211,100.0
1783111636.8847911,-3.7489285469055176,0.011063538491725922,14.749072074890137,100.0
1783111636.9041688,-3.751413106918335,0.005590891931205988,14.749958992004395,100.0
1783111636.924438,-3.7500271797180176,0.001369694247841835,14.749178886413574,100.0
1783111636.944889,-3.749643087387085,,14.749654769897461,100.0
1783111636.9644601,-3.7490732669830322,,14.74891185760498,100.0
1783111636.9844532,-3.748518943786621,,14.75184440612793,100.0
1783111637.023011,-3.748248815536499,,14.75203800201416,100.0
1783111637.0262542,-3.7487363815307617,,14.751177787780762,100.0
1783111637.044477,-3.748020887374878,,14.752553939819336,100.0
1783111637.064714,-3.7507569789886475,,14.752992630004883,100.0
1783111637.0854862,-3.7509682178497314,,14.753950119018555,100.0
1783111637.158087,-3.7512645721435547,,14.75538444519043,100.0
1783111637.159082,-3.7512645721435547,,14.75538444519043,100.0
1783111637.159607,-3.7512645721435547,,14.75538444519043,100.0
1783111637.177106,-3.751269578933716,,14.756890296936035,100.0
1783111637.1838279,-3.7515015602111816,,14.754993438720703,100.0
1783111637.205848,-3.7502894401550293,,14.754249572753906,100.0
1783111637.22494,-3.747682571411133,,14.753960609436035,100.0
